Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Afghanistan,AFG,32.96,41.50,29.45,27.95,58.67,47.13,32.54,27.66,36.56,43.59,13.97,23.68,40.42,39.10,27.00,5.27,23,430.029,70.4,52.373,240.036,62.9802,12.1994,39.2204,18.4815,84.1371,,262.673,6.55,0.506536,5,59.1409,31.7411,,55.1109,0.57123,0.353426,62.3354,10.5957,0.42373,55.2,13.5277,1170.2,32.252,1.09828,207.655,0,572.104,0.104392,12,0.610622,1.95671,0.194659,2.01492,71.2,17,44.9,15,3.280400038,8.1,0.976909,1.08767,2.26615,0.28,0.98,0,0
Angola,AGO,39.10,45.68,40.86,30.76,68.48,32.30,43.77,38.18,44.29,32.70,40.55,45.92,53.32,30.98,29.69,9.04,14,173.773,82.5,29.506,447.301,41.0059,29.271,39.4294,56.2542,40.5206,1.7145,81.7802,9.65,0.390027,5,25.9785,66.0301,80.9996,26.6794,0.62886,0.677431,45.1217,13,0.44068,27.8875,16.6873,465.382,45.981,0.885475,75.313,0,936.456,5.80383,10,0.542712,2.77724,0.460975,3.23351,51.9,36,27.5,19,12.62699986,7.2,2.26632,0.657543,0.873608,,5.31,0,0
Albania,ALB,71.77,84.59,80.77,49.94,91.66,92.97,83.70,70.02,89.07,82.09,67.92,83.99,83.94,49.46,47.94,18.44,4.9,8.797,13.5,21.525,17.5533,91.3943,85.973,97.6907,0.46913,100,4.60736,28.4303,2.28,0.953687,4,8.77306,97.247,99.2955,94.9814,0.92999,2.16907,115.152,66.3634,0.64407,93.8333,21.8489,333.233,67.088,2.57808,38.9106,80.73,291.897,16.0583,28,0.805531,3.66722,0.870912,4.36906,57,7,30,38,12.52140045,4.2,2.12918,1.54811,2.73706,0.07,12.26,0,0
United Arab Emirates,ARE,74.34,88.65,79.16,55.20,95.05,98.17,97.37,64.03,91.41,90.05,62.83,72.33,54.72,78.60,48.10,39.39,3.8,10.379,7.7,10.718,43.6661,99.6308,,99.9772,0,100,6.51996,0.635454,0.66,0.852276,2,53.6995,,99.4472,95.8051,0.94272,3.119,214.735,90.6,0.74576,,20.3345,428.733,66.068,2.61968,93.6991,96.87,380.802,12.2269,5,0.43719,3.43709,0.599654,3.12522,0.9,7,60.9,71,,3.1,1.42074,2.57444,1.37471,0.43,13.18,8,20
Argentina,ARG,74.98,82.48,78.55,63.92,94.52,98.55,78.45,58.37,92.18,82.64,63.84,75.56,87.73,67.98,59.17,40.82,3.6,51.859,11.1,6.625,65.5001,99.6273,99.5734,94.8399,0,100,3.00721,2.43201,6.53,0.757566,4,15.5162,98.09,99.8411,107.075,1.05939,2.52752,145.331,70.969,0.62712,93.3333,21.6054,346.075,61.725,2.27491,31.7228,72.13,431.522,7.38813,33,0.921213,3.74161,0.729347,4.7476,20.2,13,81.4,39,60.87409973,4.7,2.32623,2.094,2.705,0.3,13,20,20
Armenia,ARM,70.87,87.17,76.67,48.76,92.89,97.16,86.00,72.65,89.12,72.84,63.94,80.78,71.73,54.36,38.12,30.84,4.4,17.263,13.4,16.6,18.3993,98.9237,97.9341,91.5828,0,100,4.78018,17.4762,2.45,0.793656,3,8.78227,99.7444,92.3276,86.0376,1.05151,3.14088,117.428,67,0.52542,69.2857,20.4791,433.351,65.464,2.90111,55.6343,84.51,372.371,16.9991,15,0.690771,3.15917,0.684852,4.74544,42,8,41.5,35,4.854499817,5.8,1.20933,1.19426,3.24284,0.88,13.1,0,0
Australia,AUS,88.32,95.09,89.82,80.06,98.51,98.08,92.99,90.76,92.21,94.96,85.48,86.64,95.87,86.55,68.53,69.31,2.5,5.245,3.7,2.883,13.1313,99.9687,91.4808,100,,100,5.6858,0.153059,0.98,0.884262,1,6.84315,,99.9668,153.848,0.86726,3.2127,110.052,88.2387,0.98305,93,25.1581,192.388,82.222,3.20869,7.92632,99.44,579.256,14.2219,40,0.927836,3.88198,0.937218,4.81255,10.9,1,83.1,77,74.6446991,3.6,2.50038,2.50486,3.05778,1.05,14.54,64,60
Austria,AUT,86.76,96.21,91.40,72.68,99.11,99.99,97.68,88.04,94.59,92.79,85.27,92.93,93.61,87.19,63.66,46.27,2.5,3.602,3.5,1.173,6.34019,100,,99.9734,0,100,6.57616,0.510808,0.51,0.951996,2,5.64344,,,100.963,0.96121,3.20277,163.794,84.3233,0.88136,97.2222,24.1499,220.989,82.405,3.70849,18.9673,99.08,199.396,17,37,0.967491,3.30022,0.985818,4.87316,8.2,0,83.6,75,65.74349976,4.8,2.50244,2.57729,2.70687,0.56,13.29,14,30
Burundi,BDI,37.92,43.54,44.14,26.07,53.07,55.87,26.04,39.19,66.99,22.67,34.63,52.26,36.26,38.96,22.49,6.58,,336.244,71.7,50.211,641.724,55.9341,32.5421,50.4603,3.42293,7.58848,2.40228,173.429,4.03,0.059813,4,32.0168,61.5697,97.0815,48.3578,0.96713,0.80215,50.9099,5.17363,0.15254,17,15.1729,532.868,43.558,0.701717,96.8301,0,415.57,7.90814,4,0.105904,3.80706,0.36469,1.23112,94.5,10,43.7,22,3.466700077,7.6,0.956246,0.759429,1.51549,0.04,4.23,0,0
Belgium,BEL,87.39,93.14,89.34,79.70,98.70,99.88,97.20,76.80,94.02,88.00,83.68,91.63,95.25,87.79,76.00,59.78,2.5,6.768,3.9,1.15,26.4313,100,100,99.4861,0,100,6.47948,0.249848,1.95,0.94948,3,8.51094,,99.0215,163.931,1.13689,3.85871,110.498,86.5165,0.64407,98.25,23.833,237.734,80.285,3.74898,22.077,98.08,231.912,17,39,0.969773,3.59396,0.967414,4.78484,10.6,1,89.9,75,83.4673996,4.6,2.91334,3.11383,3.43378,1.17,14.51,16,40
